Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0003008~system process	16	12.598425196850393	2.087331794303207E-5	CNTN5, EDN3, LAMB2, NPR2, CACNA2D1, PTGER3, HPCAL1, INSYN2B, AQP1, GNG13, CSRP3, LOC100221337, CASQ2, NOS1, EPHB1, LOC115493804	97	486	10887	3.6950490008909256	0.033915480863639824	0.034482721241888975	0.034148748154800464
GOTERM_BP_FAT	GO:0008015~blood circulation	8	6.299212598425196	6.3443267085812E-5	CSRP3, EDN3, NPR2, CACNA2D1, HPCAL1, CASQ2, NOS1, LOC115493804	97	114	10887	7.876288659793814	0.09956297243733747	0.04586606964094574	0.045421846206166606
GOTERM_BP_FAT	GO:0003013~circulatory system process	8	6.299212598425196	1.080574828272848E-4	CSRP3, EDN3, NPR2, CACNA2D1, HPCAL1, CASQ2, NOS1, LOC115493804	97	124	10887	7.241104090455603	0.16358357205766239	0.04586606964094574	0.045421846206166606
GOTERM_BP_FAT	GO:0007154~cell communication	37	29.133858267716533	1.1105585869478388E-4	RET, DGKB, IRS1, NPR2, PTGER3, LSP1, THBS1, PTHLH, INSYN2B, CSRP3, SV2C, GPNMB, RPS6KA1, CCN5, STAT4, IL13RA2, EPHB1, LOC100220650, GDF10, WNT10A, RFTN1, GPR52, HPCAL1, GPR50, NMBR, BMP7, TGFBR1, GNG13, NR5A2, ADORA2A, BANK1, PPP1R1B, FGF18, LOC100221337, CASQ2, DOCK2, MET	97	2256	10887	1.8407682605834612	0.16771931122112982	0.04586606964094574	0.045421846206166606
GOTERM_MF_FAT	GO:0005102~signaling receptor binding	16	12.598425196850393	1.7939814920096955E-4	GDF10, LOC100223994, WNT10A, EDN3, LAMB2, IRS1, IL34, BMP7, THBS1, TGFBR1, PTHLH, GREM1, GPNMB, BANK1, FGF18, CCN5	90	591	10113	3.0420755781161875	0.0657376561127836	0.044562600259379866	0.04385712373812319
GOTERM_BP_FAT	GO:0023052~signaling	36	28.346456692913385	1.8801232529063507E-4	RET, DGKB, IRS1, NPR2, PTGER3, LSP1, THBS1, PTHLH, INSYN2B, CSRP3, SV2C, GPNMB, RPS6KA1, CCN5, STAT4, IL13RA2, EPHB1, LOC100220650, GDF10, WNT10A, RFTN1, GPR52, HPCAL1, GPR50, NMBR, BMP7, TGFBR1, GNG13, NR5A2, ADORA2A, BANK1, PPP1R1B, FGF18, CASQ2, DOCK2, MET	97	2220	10887	1.820061298411814	0.26714952841485884	0.06211927227602582	0.061517632835095794
GOTERM_BP_FAT	GO:0006936~muscle contraction	6	4.724409448818897	2.610337223018823E-4	CSRP3, EDN3, CACNA2D1, PTGER3, CASQ2, LOC115493804	97	65	10887	10.360348929421095	0.3504952108630399	0.07187128487378491	0.07117519494764658
GOTERM_MF_FAT	GO:0048018~receptor ligand activity	9	7.086614173228346	3.18425503684116E-4	GREM1, GDF10, WNT10A, EDN3, GPNMB, IL34, FGF18, BMP7, PTHLH	90	196	10113	5.15969387755102	0.11370239216763656	0.044562600259379866	0.04385712373812319
GOTERM_MF_FAT	GO:0030546~signaling receptor activator activity	9	7.086614173228346	3.527382606283367E-4	GREM1, GDF10, WNT10A, EDN3, GPNMB, IL34, FGF18, BMP7, PTHLH	90	199	10113	5.081909547738694	0.1251574789153843	0.044562600259379866	0.04385712373812319
GOTERM_MF_FAT	GO:0030545~signaling receptor regulator activity	9	7.086614173228346	5.215485204194293E-4	GREM1, GDF10, WNT10A, EDN3, GPNMB, IL34, FGF18, BMP7, PTHLH	90	211	10113	4.792890995260664	0.17939914217005715	0.049416722309740924	0.04863439952911178
GOTERM_BP_FAT	GO:0007165~signal transduction	33	25.984251968503933	5.428691210798036E-4	RET, DGKB, IRS1, NPR2, PTGER3, LSP1, THBS1, PTHLH, INSYN2B, CSRP3, RPS6KA1, CCN5, STAT4, IL13RA2, EPHB1, GDF10, WNT10A, RFTN1, GPR52, HPCAL1, GPR50, NMBR, BMP7, TGFBR1, GNG13, NR5A2, ADORA2A, BANK1, PPP1R1B, FGF18, CASQ2, DOCK2, MET	97	2061	10887	1.797100796830685	0.5924559771377116	0.12000754896204102	0.11884524824570164
GOTERM_BP_FAT	GO:0060048~cardiac muscle contraction	4	3.149606299212598	5.811503581696902E-4	CSRP3, CACNA2D1, CASQ2, LOC115493804	97	19	10887	23.62886597938144	0.6174595152517364	0.12000754896204102	0.11884524824570164
GOTERM_BP_FAT	GO:0051240~positive regulation of multicellular organismal process	13	10.236220472440944	7.654422765349852E-4	CHODL, RET, LOC100223994, PRKCH, IL34, RFTN1, NMBR, THBS1, TGFBR1, GLIPR2, FGF18, EPHB1, MET	97	465	10887	3.1378117725307613	0.7179752873198892	0.12662056050077988	0.12539421124653505
GOTERM_BP_FAT	GO:0003012~muscle system process	6	4.724409448818897	7.664682839030261E-4	CSRP3, EDN3, CACNA2D1, PTGER3, CASQ2, LOC115493804	97	82	10887	8.21247171234599	0.7184535591108908	0.12662056050077988	0.12539421124653505
GOTERM_BP_FAT	GO:0009887~animal organ morphogenesis	10	7.874015748031496	9.001572840821072E-4	GREM1, IRX2, NR5A2, LAMB2, NPR2, FGF18, PBX3, EPHB1, BARX2, TGFBR1	97	285	10887	3.938144329896907	0.7743183930336199	0.13156871752022176	0.1302944442270477
GOTERM_MF_FAT	GO:0038023~signaling receptor activity	15	11.811023622047244	9.390851610603648E-4	RET, LOC100225774, NPR2, PTGER3, GPR52, GPR50, NMBR, NR2F2, TGFBR1, NR5A2, ADORA2A, IL13RA2, EPHB1, MET, LOC100220650	90	618	10113	2.727346278317152	0.2995837635645914	0.05931887934031304	0.058379794179252674
GOTERM_MF_FAT	GO:0060089~molecular transducer activity	15	11.811023622047244	9.390851610603648E-4	RET, LOC100225774, NPR2, PTGER3, GPR52, GPR50, NMBR, NR2F2, TGFBR1, NR5A2, ADORA2A, IL13RA2, EPHB1, MET, LOC100220650	90	618	10113	2.727346278317152	0.2995837635645914	0.05931887934031304	0.058379794179252674
GOTERM_BP_FAT	GO:0141124~intracellular signaling cassette	11	8.661417322834646	0.001025711696072377	RET, GDF10, BANK1, IRS1, NPR2, FGF18, HPCAL1, CASQ2, DOCK2, THBS1, BMP7	97	351	10887	3.517402414309631	0.8166524187427009	0.13156871752022176	0.1302944442270477
GOTERM_BP_FAT	GO:0060047~heart contraction	4	3.149606299212598	0.0010353470507039242	CSRP3, CACNA2D1, CASQ2, LOC115493804	97	23	10887	19.519497982967277	0.8195524721894462	0.13156871752022176	0.1302944442270477
GOTERM_BP_FAT	GO:0019220~regulation of phosphate metabolic process	11	8.661417322834646	0.001587135251635759	RET, PPP1R17, GPNMB, BANK1, CAMK2N1, IL34, FGF18, PRKCD, NOS1, PKIG, THBS1	97	372	10887	3.3188393747921516	0.9276050496502493	0.17831750910433986	0.17659046301131961
GOTERM_BP_FAT	GO:0051174~regulation of phosphorus metabolic process	11	8.661417322834646	0.0016191057122064757	RET, PPP1R17, GPNMB, BANK1, CAMK2N1, IL34, FGF18, PRKCD, NOS1, PKIG, THBS1	97	373	10887	3.309941682098339	0.9313374090911718	0.17831750910433986	0.17659046301131961
GOTERM_BP_FAT	GO:0007167~enzyme-linked receptor protein signaling pathway	10	7.874015748031496	0.0019276855934257486	RET, GDF10, CSRP3, IRS1, NPR2, FGF18, EPHB1, MET, BMP7, TGFBR1	97	318	10887	3.5294689749076054	0.9588091646047722	0.19903353752120853	0.1971058519277828
KEGG_PATHWAY	tgu04020:Calcium signaling pathway	8	6.299212598425196	0.0021262403596279495	RET, ADORA2A, PTGER3, FGF18, CASQ2, NOS1, MET, CAMK1G	44	210	4879	4.224242424242424	0.10286928680599028	0.11056449870065338	0.11056449870065338
GOTERM_BP_FAT	GO:0003015~heart process	4	3.149606299212598	0.002269933755017981	CSRP3, CACNA2D1, CASQ2, LOC115493804	97	30	10887	14.964948453608246	0.9766338194072111	0.19979754523283244	0.19786246004897934
GOTERM_BP_FAT	GO:0045937~positive regulation of phosphate metabolic process	8	6.299212598425196	0.0023168527567678935	RET, GPNMB, BANK1, IL34, FGF18, PRKCD, NOS1, THBS1	97	207	10887	4.337666218437174	0.9783813943757688	0.19979754523283244	0.19786246004897934
GOTERM_BP_FAT	GO:0010562~positive regulation of phosphorus metabolic process	8	6.299212598425196	0.0023168527567678935	RET, GPNMB, BANK1, IL34, FGF18, PRKCD, NOS1, THBS1	97	207	10887	4.337666218437174	0.9783813943757688	0.19979754523283244	0.19786246004897934
GOTERM_BP_FAT	GO:0006941~striated muscle contraction	4	3.149606299212598	0.0024971949137456142	CSRP3, CACNA2D1, CASQ2, LOC115493804	97	31	10887	14.482208180911206	0.9839657116591766	0.19979754523283244	0.19786246004897934
GOTERM_CC_FAT	GO:0005576~extracellular region	14	11.023622047244094	0.002503324154182474	C1QB, GDF10, WNT10A, LOC100223369, EDN3, LAMB2, IL34, BMP7, THBS1, PTHLH, GREM1, GLIPR2, FGF18, CCN5	58	832	8631	2.504020225464191	0.3502136003097124	0.36431111204101596	0.36431111204101596
GOTERM_BP_FAT	GO:0051094~positive regulation of developmental process	11	8.661417322834646	0.002605287437362113	RET, CHODL, GDF10, PRKCH, GLIPR2, IL34, FGF18, EPHB1, THBS1, MET, TGFBR1	97	398	10887	3.102030772418795	0.9865954326632268	0.19979754523283244	0.19786246004897934
GOTERM_BP_FAT	GO:2001026~regulation of endothelial cell chemotaxis	3	2.3622047244094486	0.0026607421277980107	FGF18, THBS1, MET	97	9	10887	37.41237113402062	0.9877725075631723	0.19979754523283244	0.19786246004897934
GOTERM_MF_FAT	GO:0005125~cytokine activity	5	3.937007874015748	0.002972408918217832	GREM1, GDF10, WNT10A, IL34, BMP7	90	68	10113	8.262254901960784	0.6763914194933063	0.13716322606685408	0.13499177657766906
GOTERM_BP_FAT	GO:0035556~intracellular signal transduction	17	13.385826771653544	0.0031846403708853926	RET, GDF10, DGKB, IRS1, NPR2, RFTN1, HPCAL1, BMP7, THBS1, TGFBR1, CSRP3, BANK1, FGF18, RPS6KA1, PPP1R1B, CASQ2, DOCK2	97	857	10887	2.2264071503326153	0.9948698002390772	0.22874025620446384	0.2265248542073262
GOTERM_MF_FAT	GO:0098772~molecular function regulator activity	19	14.960629921259844	0.0031864068610874766	GDF10, PPP1R17, WNT10A, LOC100223369, EDN3, IL34, PRKCD, BMP7, THBS1, PTHLH, GREM1, GPNMB, CAMK2N1, SH3PXD2B, FGF18, PPP1R1B, FXYD6, PKIG, DOCK2	90	1026	10113	2.080864197530864	0.7016763555361789	0.13716322606685408	0.13499177657766906
GOTERM_MF_FAT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	14	11.023622047244094	0.0032571742337775375	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, FEV, LHX1, STAT4, SOX8, ZNF521	90	629	10113	2.5010068892421833	0.7095964731281681	0.13716322606685408	0.13499177657766906
GOTERM_BP_FAT	GO:0009888~tissue development	13	10.236220472440944	0.0036647890847637497	RET, IRX2, LAMB2, NPR2, BARX2, TGFBR1, PTHLH, CSRP3, NR5A2, POF1B, FGF18, SOX8, MET	97	560	10887	2.60550441826215	0.9976865700032225	0.25225964866790473	0.24981645594472895
GOTERM_CC_FAT	GO:0030054~cell junction	15	11.811023622047244	0.004236175721407162	PRKCH, SLC30A3, CNTN5, LAMB2, NPR2, TGFBR1, INSYN2B, SV2C, POF1B, CDH22, NOS1, EPHB1, MDGA1, NECTIN3, LOC100220650	58	991	8631	2.2524270155537773	0.5181728707563555	0.36431111204101596	0.36431111204101596
GOTERM_BP_FAT	GO:0009605~response to external stimulus	11	8.661417322834646	0.004373146820394186	RAB32, CSRP3, LOC100223994, BANK1, NPR2, PRKCD, GPR52, LSP1, NMBR, EPHB1, MET	97	428	10887	2.884598708931496	0.9992860261746596	0.2889775418916478	0.28617872792659554
GOTERM_BP_FAT	GO:0030335~positive regulation of cell migration	7	5.511811023622047	0.005378857088218554	RET, GPNMB, GLIPR2, FGF18, THBS1, MET, TGFBR1	97	182	10887	4.316812053925456	0.9998656751241194	0.33861481961574263	0.33533525719815677
GOTERM_BP_FAT	GO:0007166~cell surface receptor signaling pathway	16	12.598425196850393	0.00557836600270193	RET, GDF10, WNT10A, IRS1, NPR2, RFTN1, BMP7, TGFBR1, INSYN2B, CSRP3, ADORA2A, FGF18, STAT4, IL13RA2, EPHB1, MET	97	826	10887	2.1740845211053146	0.9999035855254751	0.33861481961574263	0.33533525719815677
GOTERM_MF_FAT	GO:0003700~DNA-binding transcription factor activity	14	11.023622047244094	0.00562296553550389	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, FEV, LHX1, STAT4, SOX8, ZNF521	90	671	10113	2.344461003477397	0.8820055931637687	0.21311039379559743	0.2097366144742951
GOTERM_BP_FAT	GO:0009719~response to endogenous stimulus	10	7.874015748031496	0.005739234230775299	GDF10, TMEM100, CSRP3, NR5A2, IRS1, NPR2, FGF18, PRKCD, STAT4, TGFBR1	97	375	10887	2.9929896907216498	0.9999262096595394	0.33861481961574263	0.33533525719815677
GOTERM_BP_FAT	GO:2000147~positive regulation of cell motility	7	5.511811023622047	0.006443408234178576	RET, GPNMB, GLIPR2, FGF18, THBS1, MET, TGFBR1	97	189	10887	4.15693012600229	0.9999771238608518	0.3670520828573451	0.3634970990040052
GOTERM_BP_FAT	GO:0065008~regulation of biological quality	19	14.960629921259844	0.00702491211195012	RET, EDN3, IRS1, NPR2, CACNA2D1, PTGER3, AKR1D1, HPCAL1, THBS1, A1CF, INSYN2B, AQP1, CSRP3, LOC100221337, CASQ2, NOS1, EPHB1, MET, MDGA1	97	1100	10887	1.9386410496719773	0.9999913084478573	0.3868384936313866	0.38309187383834653
GOTERM_BP_FAT	GO:0040017~positive regulation of locomotion	7	5.511811023622047	0.007292555852420806	RET, GPNMB, GLIPR2, FGF18, THBS1, MET, TGFBR1	97	194	10887	4.049792751620788	0.999994433611486	0.3886226538128765	0.3848587540180787
GOTERM_BP_FAT	GO:0007155~cell adhesion	10	7.874015748031496	0.00772403233215318	RET, CNTN5, GPNMB, CDH22, CCN5, EPHB1, THBS1, MDGA1, NECTIN3, EYS	97	393	10887	2.855906193436688	0.9999972868232734	0.3900720969919466	0.38629415900655245
GOTERM_BP_FAT	GO:0042325~regulation of phosphorylation	9	7.086614173228346	0.007871294776155984	RET, GPNMB, BANK1, CAMK2N1, IL34, FGF18, NOS1, PKIG, THBS1	97	325	10887	3.1081046788263285	0.9999978771016748	0.3900720969919466	0.38629415900655245
GOTERM_BP_FAT	GO:0042327~positive regulation of phosphorylation	7	5.511811023622047	0.008028118218962581	RET, GPNMB, BANK1, IL34, FGF18, NOS1, THBS1	97	198	10887	3.96797875663855	0.9999983652729829	0.3900720969919466	0.38629415900655245
GOTERM_MF_FAT	GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding	13	10.236220472440944	0.008157886086612689	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, LHX1, STAT4, SOX8, ZNF521	90	623	10113	2.344729802033173	0.9551539278655844	0.2810762569842008	0.2766265009369575
GOTERM_BP_FAT	GO:0016310~phosphorylation	11	8.661417322834646	0.009175615189851986	RET, PRKCH, DGKB, NPR2, RPS6KA1, PRKCD, MATK, EPHB1, MET, TGFBR1, CAMK1G	97	477	10887	2.5882772482655776	0.9999997587193676	0.42354665315937123	0.41944450639753716
GOTERM_BP_FAT	GO:0071345~cellular response to cytokine stimulus	7	5.511811023622047	0.009229830214126735	LOC100223994, NR5A2, IRS1, NPR2, STAT4, LSP1, IL13RA2	97	204	10887	3.851273499090357	0.9999997795852749	0.42354665315937123	0.41944450639753716
GOTERM_BP_FAT	GO:0000165~MAPK cascade	4	3.149606299212598	0.009652913886620507	RET, BANK1, NPR2, FGF18	97	50	10887	8.978969072164947	0.9999998912025673	0.4309895605593804	0.42681532752732837
KEGG_PATHWAY	tgu04270:Vascular smooth muscle contraction	5	3.937007874015748	0.010011721263074171	PRKCH, ADORA2A, EDN3, NPR2, PRKCD	44	97	4879	5.715791940018744	0.4014055497043003	0.26030475283992843	0.26030475283992843
GOTERM_BP_FAT	GO:0042127~regulation of cell population proliferation	11	8.661417322834646	0.010525902984628167	PRKCH, NR5A2, GPNMB, IL34, AKR1D1, FGF18, STAT4, NMBR, EPHB1, THBS1, TGFBR1	97	487	10887	2.535129871504477	0.9999999746766033	0.4575997823843614	0.453167823232939
GOTERM_BP_FAT	GO:0001932~regulation of protein phosphorylation	8	6.299212598425196	0.011126404971332712	RET, GPNMB, BANK1, CAMK2N1, IL34, FGF18, NOS1, PKIG	97	277	10887	3.2415050802039524	0.9999999907165342	0.4651101309453931	0.46060543234059514
GOTERM_BP_FAT	GO:0045595~regulation of cell differentiation	11	8.661417322834646	0.011406119888741711	CHODL, GDF10, PRKCH, GLIPR2, NPR2, IL34, FGF18, EPHB1, MET, PTHLH, TGFBR1	97	493	10887	2.5042763639405283	0.9999999941840877	0.4651101309453931	0.46060543234059514
GOTERM_BP_FAT	GO:1901698~response to nitrogen compound	8	6.299212598425196	0.011543290174794866	CSRP3, IRS1, NPR2, CACNA2D1, RFTN1, PRKCD, CASQ2, STAT4	97	279	10887	3.2182684846469347	0.9999999953761709	0.4651101309453931	0.46060543234059514
GOTERM_MF_FAT	GO:0140677~molecular function activator activity	11	8.661417322834646	0.01155882087172436	GREM1, GDF10, WNT10A, EDN3, GPNMB, IL34, SH3PXD2B, FGF18, PRKCD, BMP7, PTHLH	90	496	10113	2.4920026881720427	0.9877998657050717	0.36506609253196104	0.3592866820960989
GOTERM_BP_FAT	GO:0048699~generation of neurons	11	8.661417322834646	0.012341412375935263	RET, IRX2, WNT10A, CNTN5, LAMB2, LHX1, NPR2, PBX3, EPHB1, MET, MDGA1	97	499	10887	2.4741648244943497	0.999999998783496	0.48504063147132415	0.48034290138443475
GOTERM_BP_FAT	GO:0010556~regulation of macromolecule biosynthetic process	30	23.62204724409449	0.012695535744908473	RET, IRS1, IKZF2, BARX2, THBS1, CARF, PTHLH, CSRP3, GBX2, GPNMB, RPS6KA1, STAT4, SOX8, ZNF521, IRX2, LOC100223994, RFTN1, PRKCD, PBX3, FOXL3, NMBR, NR2F2, A1CF, TGFBR1, NR5A2, BANK1, LHX1, FEV, FGF18, MET	97	2200	10887	1.530506091846298	0.9999999993275352	0.48504063147132415	0.48034290138443475
GOTERM_CC_FAT	GO:0005615~extracellular space	10	7.874015748031496	0.012732683954589943	GREM1, GDF10, WNT10A, LOC100223369, EDN3, GLIPR2, IL34, FGF18, THBS1, BMP7	58	578	8631	2.5745734399236366	0.8896483902136919	0.6239363338463029	0.6239363338463029
GOTERM_BP_FAT	GO:0043434~response to peptide hormone	5	3.937007874015748	0.012918757738945678	CSRP3, IRS1, NPR2, PRKCD, STAT4	97	103	10887	5.448403563206886	0.9999999995372547	0.48504063147132415	0.48034290138443475
GOTERM_MF_FAT	GO:0004888~transmembrane signaling receptor activity	11	8.661417322834646	0.012994129855878606	RET, ADORA2A, PTGER3, GPR52, GPR50, NMBR, IL13RA2, EPHB1, LOC100220650, MET, TGFBR1	90	505	10113	2.447590759075908	0.9929663654978951	0.37360069748883107	0.3676861745734406
GOTERM_BP_FAT	GO:0001934~positive regulation of protein phosphorylation	6	4.724409448818897	0.013816038132739355	RET, GPNMB, BANK1, IL34, FGF18, NOS1	97	161	10887	4.182749567778703	0.9999999998970878	0.49858240702793005	0.49375352172983883
GOTERM_BP_FAT	GO:0007169~cell surface receptor protein tyrosine kinase signaling pathway	7	5.511811023622047	0.013883045232012581	RET, CSRP3, IRS1, NPR2, FGF18, EPHB1, MET	97	223	10887	3.5231380888539596	0.9999999999080211	0.49858240702793005	0.49375352172983883
GOTERM_CC_FAT	GO:0016529~sarcoplasmic reticulum	3	2.3622047244094486	0.01451014729875123	CACNA2D1, CASQ2, NOS1	58	28	8631	15.943965517241379	0.919058550809575	0.6239363338463029	0.6239363338463029
GOTERM_BP_FAT	GO:0035239~tube morphogenesis	7	5.511811023622047	0.014744524791433246	RET, IRX2, NPR2, FGF18, EPHB1, THBS1, MET	97	226	10887	3.476370769090411	0.9999999999783099	0.5174617999395047	0.5124500633783472
GOTERM_MF_FAT	GO:0000976~transcription cis-regulatory region binding	13	10.236220472440944	0.015290682637083566	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, LHX1, STAT4, SOX8, ZNF521	90	678	10113	2.1545231071779742	0.9970909585549903	0.37360069748883107	0.3676861745734406
GOTERM_MF_FAT	GO:0001067~transcription regulatory region nucleic acid binding	13	10.236220472440944	0.015290682637083566	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, LHX1, STAT4, SOX8, ZNF521	90	678	10113	2.1545231071779742	0.9970909585549903	0.37360069748883107	0.3676861745734406
GOTERM_MF_FAT	GO:0004857~enzyme inhibitor activity	6	4.724409448818897	0.01577206110770791	PPP1R17, LOC100223369, CAMK2N1, PPP1R1B, PKIG, THBS1	90	167	10113	4.037125748502994	0.9975830585010959	0.37360069748883107	0.3676861745734406
GOTERM_BP_FAT	GO:0001656~metanephros development	3	2.3622047244094486	0.015848777038464157	RET, IRX2, LAMB2	97	22	10887	15.305060918462983	0.999999999996602	0.5174617999395047	0.5124500633783472
GOTERM_BP_FAT	GO:2000026~regulation of multicellular organismal development	10	7.874015748031496	0.016233392241571196	CHODL, PRKCH, GBX2, IL34, FGF18, EPHB1, THBS1, MET, PTHLH, TGFBR1	97	444	10887	2.5278629144608527	0.9999999999982192	0.5174617999395047	0.5124500633783472
GOTERM_BP_FAT	GO:1901652~response to peptide	7	5.511811023622047	0.016262164391873758	LOC100223994, NR5A2, IRS1, NPR2, STAT4, LSP1, IL13RA2	97	231	10887	3.401124648547329	0.9999999999983032	0.5174617999395047	0.5124500633783472
GOTERM_BP_FAT	GO:0034097~response to cytokine	7	5.511811023622047	0.016262164391873758	LOC100223994, NR5A2, IRS1, NPR2, STAT4, LSP1, IL13RA2	97	231	10887	3.401124648547329	0.9999999999983032	0.5174617999395047	0.5124500633783472
GOTERM_BP_FAT	GO:0031399~regulation of protein modification process	9	7.086614173228346	0.016288143823761647	RET, GPNMB, BANK1, CAMK2N1, IL34, FGF18, NOS1, PKIG, TGFBR1	97	370	10887	2.730091947617721	0.9999999999983757	0.5174617999395047	0.5124500633783472
GOTERM_BP_FAT	GO:0048646~anatomical structure formation involved in morphogenesis	8	6.299212598425196	0.01775600337958753	RET, IRX2, CSRP3, NPR2, FGF18, EPHB1, THBS1, LOC115493804	97	304	10887	2.95360824742268	0.9999999999998624	0.5444179629813489	0.539145149780561
GOTERM_BP_FAT	GO:0006468~protein phosphorylation	10	7.874015748031496	0.017795744552659105	RET, PRKCH, NPR2, RPS6KA1, PRKCD, MATK, EPHB1, MET, TGFBR1, CAMK1G	97	451	10887	2.488627791619997	0.9999999999998713	0.5444179629813489	0.539145149780561
GOTERM_CC_FAT	GO:0016528~sarcoplasm	3	2.3622047244094486	0.018722210457182618	CACNA2D1, CASQ2, NOS1	58	32	8631	13.950969827586206	0.9612547315105441	0.644044039727082	0.644044039727082
GOTERM_MF_FAT	GO:0043565~sequence-specific DNA binding	14	11.023622047244094	0.019353669407033203	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, FEV, LHX1, STAT4, SOX8, ZNF521	90	785	10113	2.003991507430998	0.9993929807168981	0.4068587106366656	0.40041767563977915
KEGG_PATHWAY	tgu04060:Cytokine-cytokine receptor interaction	5	3.937007874015748	0.019411200651440634	GDF10, IL34, IL13RA2, BMP7, TGFBR1	44	118	4879	4.698574730354391	0.6320122670459541	0.33646081129163763	0.33646081129163763
GOTERM_MF_FAT	GO:0016301~kinase activity	12	9.448818897637794	0.019936386056237765	RET, PRKCH, DGKB, CAMK2N1, NPR2, RPS6KA1, PRKCD, MATK, EPHB1, MET, TGFBR1, CAMK1G	90	621	10113	2.1713365539452494	0.9995154186098004	0.4068587106366656	0.40041767563977915
GOTERM_BP_FAT	GO:1901699~cellular response to nitrogen compound	6	4.724409448818897	0.020009175919927725	CSRP3, IRS1, NPR2, CACNA2D1, PRKCD, CASQ2	97	177	10887	3.8046479119343	0.9999999999999969	0.60100288399492	0.5951820328182138
GOTERM_MF_FAT	GO:1990837~sequence-specific double-stranded DNA binding	13	10.236220472440944	0.020396610823474003	IRX2, PBX3, FOXL3, NR2F2, IKZF2, CARF, BARX2, NR5A2, GBX2, LHX1, STAT4, SOX8, ZNF521	90	706	10113	2.069074598677998	0.9995944394138446	0.4068587106366656	0.40041767563977915
GOTERM_BP_FAT	GO:0034762~regulation of transmembrane transport	5	3.937007874015748	0.02144994454159706	IRS1, CACNA2D1, CASQ2, FXYD6, THBS1	97	120	10887	4.676546391752577	0.9999999999999998	0.6263765944233851	0.6203099930246114
GOTERM_BP_FAT	GO:1901700~response to oxygen-containing compound	9	7.086614173228346	0.021612267483131328	RET, CSRP3, IRS1, NPR2, CACNA2D1, PRKCD, STAT4, THBS1, TGFBR1	97	390	10887	2.5900872323552737	0.9999999999999998	0.6263765944233851	0.6203099930246114
GOTERM_BP_FAT	GO:0001503~ossification	4	3.149606299212598	0.022038271967680448	GDF10, NPR2, FGF18, PTHLH	97	68	10887	6.602183141297756	0.9999999999999999	0.6268044102535618	0.6207336653600648
GOTERM_BP_FAT	GO:0070887~cellular response to chemical stimulus	11	8.661417322834646	0.02255538124244013	RET, CSRP3, LOC100223994, NR5A2, IRS1, NPR2, CACNA2D1, PRKCD, CASQ2, EPHB1, CARF	97	549	10887	2.2488310517717314	1.0	0.6268044102535618	0.6207336653600648
GOTERM_BP_FAT	GO:0001818~negative regulation of cytokine production	4	3.149606299212598	0.022896019193751768	GPNMB, BANK1, NMBR, THBS1	97	69	10887	6.506499327655759	1.0	0.6268044102535618	0.6207336653600648
GOTERM_MF_FAT	GO:0050839~cell adhesion molecule binding	6	4.724409448818897	0.02295198201246879	CNTN5, GPNMB, LAMB2, CDH22, CCN5, THBS1	90	184	10113	3.6641304347826087	0.9998492944799892	0.42462489447288676	0.4179026006289888
GOTERM_BP_FAT	GO:0030182~neuron differentiation	10	7.874015748031496	0.023144714906457184	RET, IRX2, WNT10A, CNTN5, LAMB2, LHX1, NPR2, PBX3, EPHB1, MET	97	472	10887	2.3779049449589373	1.0	0.6268044102535618	0.6207336653600648
